line,name,slug,type,loot_type,rarity,current_price,current_gp,adjusted_price,adjusted_gp,delta_gp,rule,source_id
435,Adamantine Ring Mail,adamantine-ring-mail,equipment,loot.armor.magic,uncommon,530 gp,530,40 pp,400,-130,magic_permanent_safe_default,Compendium.dnd5e.items.Item.UpHAWqwifZpiZzns
312,Adamantine Scale Mail,adamantine-scale-mail,equipment,loot.armor.magic,uncommon,550 gp,550,40 pp,400,-150,magic_permanent_safe_default,Compendium.dnd5e.items.Item.LdAj2ES9EzfnWcA1
307,Adamantine Splint Armor,adamantine-splint-armor,equipment,loot.armor.magic,uncommon,700 gp,700,40 pp,400,-300,magic_permanent_safe_default,Compendium.dnd5e.items.Item.LDuqUcosOK8Bf76S
240,Agate,agate,loot,loot.loot,common,50 gp,50,5 pp,50,0,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.GshAVVLoVueC0td1
1124,Aid,aid,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.Opwh2PdX4runSBlm
246,Airship Supplies,airship-supplies,consumable,loot.consumable,uncommon,100 gp,100,40 pp,400,300,magic_consumable_safe_default,Compendium.party-operations.party-operations-loot-manifest.Item.H95wzHKsLXrU92Hk
1437,Alabaster Phoenix Figure,alabaster-phoenix-figure,loot,loot.loot,,9000 gp,9000,750 pp,7500,-1500,art_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.aRt36Phnx4Lm0Cn7
1029,Alarm,alarm,spell,loot.spell,common,50 gp,50,5 pp,50,0,spell_level_standard,Compendium.dnd5e.spells.Item.7p9IuWrSWFgfyQo2
228,Alchemist's Fire,alchemists-fire,consumable,loot.potion,common,50 gp,50,5 pp,50,0,mundane_keep_current,Compendium.dnd5e.items.Item.FvNOwWbh5FXyX4xe
410,Alchemist's Supplies,alchemists-supplies,tool,loot.tool,common,50 gp,50,5 pp,50,0,mundane_keep_current,Compendium.dnd5e.items.Item.SztwZhbhZeCqyAes
416,Alchemy Jug,alchemy-jug,consumable,loot.consumable,uncommon,6000 gp,6000,40 pp,400,-5600,magic_consumable_safe_default,Compendium.dnd5e.items.Item.TZggpdbOYqOCG7mY
515,Ale,ale,consumable,loot.potion,common,2 sp,0.2,2 sp,0.2,0,mundane_keep_current,Compendium.party-operations.party-operations-loot-manifest.Item.ZwaJJO0L48jYQjTu
561,Alexandrite,alexandrite,loot,loot.loot,uncommon,200 gp,200,10 pp,100,-100,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.dAwe0GD493qXmYAD
216,Alms Box,alms-box,container,loot.container,,1 sp,0.1,1 sp,0.1,0,mundane_keep_current,Compendium.dnd5e.items.Item.g8fQZ1WyTz2bTtvA
623,Alms Box,alms-box,container,loot.container,common,1 sp,0.1,1 sp,0.1,0,mundane_keep_current,Compendium.dnd5e.items.Item.g8fQZ1WyTz2bTtvA
954,Alms Box,alms-box,container,loot.container,,1 sp,0.1,1 sp,0.1,0,mundane_keep_current,Compendium.dnd5e.items.Item.ac8IamT5vDrH1ZT8
1035,Alter Self,alter-self,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.8RTDOt80u8aBv9qx
30,Amber,amber,loot,loot.loot,,5 gp,5,1 pp,10,5,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.2GMCeM7yPyPCFNBl
551,Amber Charm,amber-charm,loot,loot.loot,,30 gp,30,5 pp,50,20,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.cKLMIizpOPaLhF8A
1433,Amber Reliquary Diptych,amber-reliquary-diptych,loot,loot.loot,,6000 gp,6000,750 pp,7500,1500,art_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.aRt32Dipt0Hi6Yj3
61,Amethyst,amethyst,loot,loot.loot,,10 gp,10,1 pp,10,0,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.3xEj1h2pJyhd6t81
855,Amethyst,amethyst,loot,loot.loot,common,20 gp,20,1 pp,10,-10,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.v3YmhCho5fvPiKdv
771,Amulet,amulet,equipment,loot.equipment,common,5 gp,5,5 gp,5,0,mundane_keep_current,Compendium.dnd5e.items.Item.paqlMjggWkBIAeCe
670,Amulet of Health,amulet-of-health,equipment,loot.equipment.magic,rare,8000 gp,8000,300 pp,3000,-5000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.iiQxTvDOhPGW5spF
75,Amulet of Proof against Detection and Location,amulet-of-proof-against-detection-and-location,equipment,loot.equipment.magic,uncommon,20000 gp,20000,40 pp,400,-19600,magic_permanent_safe_default,Compendium.dnd5e.items.Item.50N8zf58FR4JWR05
116,Amulet of the Planes,amulet-of-the-planes,equipment,loot.armor.magic,very-rare,160000 gp,160000,2000 pp,20000,-140000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.8ABk0XV76Hzq8Qul
1410,Ancestral Hero Triptych,ancestral-hero-triptych,loot,loot.loot,,7500 gp,7500,750 pp,7500,0,art_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.aRt09Trip7Hj3Ak0
546,Ancient Coin,ancient-coin,loot,loot.loot,uncommon,10 gp,10,40 pp,400,390,magic_permanent_safe_default,Compendium.party-operations.party-operations-loot-manifest.Item.c5tuBDzM4Cit2k2i
1335,Angels Trumpet,angels-trumpet,consumable,loot.potion,uncommon,100 gp,100,40 pp,400,300,magic_consumable_safe_default,Compendium.world.terranor.terranor-c1-items-pack.Item.BhfuI7UoZntTMH9a
1232,Animal Friendship,animal-friendship,spell,loot.spell,common,50 gp,50,5 pp,50,0,spell_level_standard,Compendium.dnd5e.spells.Item.hDOENzjuj5WpLq7B
1165,Animal Messenger,animal-messenger,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.X8w9EzYLGc4vQ1H2
1260,Animal Shapes,animal-shapes,spell,loot.spell,very-rare,50000 gp,50000,5000 pp,50000,0,spell_level_standard,Compendium.dnd5e.spells.Item.ohqAIBg6de989CIo
1261,Animate Dead,animate-dead,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Compendium.dnd5e.spells.Item.oyE5nVppa5mde5gT
1051,Animate Objects,animate-objects,spell,loot.spell,rare,5000 gp,5000,500 pp,5000,0,spell_level_standard,Compendium.dnd5e.spells.Item.ATo0Eb63TDtnu6iA
337,Animated Shield,animated-shield,equipment,loot.armor.magic,very-rare,6000 gp,6000,2000 pp,20000,14000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.NG8BlE2nwYJxCjWO
1284,Antilife Shell,antilife-shell,spell,loot.spell,rare,5000 gp,5000,500 pp,5000,0,spell_level_standard,Compendium.dnd5e.spells.Item.wXzkqpeFP8eWgJzK
1073,Antimagic Field,antimagic-field,spell,loot.spell,very-rare,50000 gp,50000,5000 pp,50000,0,spell_level_standard,Compendium.dnd5e.spells.Item.Eon0jzGzQRNluTPQ
1077,Antipathy/Sympathy,antipathy-sympathy,spell,loot.spell,very-rare,50000 gp,50000,5000 pp,50000,0,spell_level_standard,Compendium.dnd5e.spells.Item.GJ2WYm3SQFR0winH
220,Antitoxin,antitoxin,consumable,loot.potion,common,50 gp,50,5 pp,50,0,mundane_keep_current,Compendium.dnd5e.items.Item.Fc6UfFNOnW80XMzi
710,Apparatus of the Crab,apparatus-of-the-crab,consumable,loot.consumable,legendary,10000 gp,10000,5000 pp,50000,40000,magic_consumable_safe_default,Compendium.dnd5e.items.Item.lSd5QHnIJbKvP1bh
429,Aquamarine,aquamarine,loot,loot.loot,,10 gp,10,1 pp,10,0,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.UNm6iweXm7fPmk9V
1085,Arcane Eye,arcane-eye,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.dnd5e.spells.Item.ImlCJQwR1VL40Qem
1183,Arcane Hand,arcane-hand,spell,loot.spell,rare,5000 gp,5000,500 pp,5000,0,spell_level_standard,Compendium.dnd5e.spells.Item.a2KJHCIbY5Mi4Dmn
1037,Arcane Lock,arcane-lock,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.8cse7rit0oswRPUP
1104,Arcane Sword,arcane-sword,spell,loot.spell,very-rare,25000 gp,25000,2500 pp,25000,0,spell_level_standard,Compendium.dnd5e.spells.Item.LTDNWoFVJNLjiiNa
1135,Arcanist's Magic Aura,arcanists-magic-aura,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.RvEqsD89Zvd5yex4
604,Armor of Invulnerability,armor-of-invulnerability,equipment,loot.armor.magic,legendary,18000 gp,18000,7500 pp,75000,57000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.evSCq83oPhR0ZK4y
499,Armor of Vulnerability,armor-of-vulnerability,equipment,loot.armor.magic,rare,1000 gp,1000,300 pp,3000,2000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.YwS4pESpfsiq0JZv
52,Arrow,arrow,consumable,loot.consumable,common,5 cp,0.05,5 cp,0.05,0,mundane_keep_current,Compendium.dnd5e.items.Item.3c7JXOzsv55gqJS5
827,Arrow +1,arrow-1,consumable,loot.consumable,uncommon,25 gp,25,40 pp,400,375,magic_consumable_safe_default,Compendium.dnd5e.items.Item.tEWhsb2lYF4uvF0z
626,Arrow +2,arrow-2,consumable,loot.consumable,rare,100 gp,100,300 pp,3000,2900,magic_consumable_safe_default,Compendium.dnd5e.items.Item.gLkbbUtGhQgYANM8
269,Arrow +3,arrow-3,consumable,loot.consumable,very-rare,400 gp,400,2000 pp,20000,19600,magic_consumable_safe_default,Compendium.dnd5e.items.Item.IY5PveXrF7VoFlWg
524,Arrow of Slaying,arrow-of-slaying,consumable,loot.consumable,very-rare,600 gp,600,2000 pp,20000,19400,magic_consumable_safe_default,Compendium.dnd5e.items.Item.aXsfZvDCdpuv3Yvb
849,Arrow-Catching Shield,arrow-catching-shield,equipment,loot.armor.magic,rare,6000 gp,6000,300 pp,3000,-3000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.uWUD93jwuO2Jxkti
1446,Astral Court Hanging,astral-court-hanging,loot,loot.loot,,5200 gp,5200,750 pp,7500,2300,art_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.aRt45Hang0Uv0Ie6
1145,Astral Projection,astral-projection,spell,loot.spell,legendary,250000 gp,250000,25000 pp,250000,0,spell_level_standard,Compendium.dnd5e.spells.Item.TIoadMIsUKD4edXi
1012,Augury,augury,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.4v2H3hHb3Ph9XLNd
1111,Awaken,awaken,spell,loot.spell,rare,5000 gp,5000,500 pp,5000,0,spell_level_standard,Compendium.dnd5e.spells.Item.MCEpGpvovcXagwQS
96,Azurite,azurite,loot,loot.loot,,50 gp,50,5 pp,50,0,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.6PaCaukXtK0ueblH
103,Backpack,backpack,container,loot.container,,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.H8YCd689ezlD26aT
245,Backpack,backpack,container,loot.container,common,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.H8YCd689ezlD26aT
329,Backpack,backpack,container,loot.container,common,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.H8YCd689ezlD26aT
212,Bag of Beans,bag-of-beans,consumable,loot.consumable,rare,3000 gp,3000,300 pp,3000,0,magic_consumable_safe_default,Compendium.dnd5e.items.Item.F8QpasPjLrw2POzE
253,Bag of Devouring,bag-of-devouring,container,loot.container,very-rare,2000 gp,2000,2000 pp,20000,18000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.YG9QW0flem4SLL6A
490,Bag of Devouring,bag-of-devouring,container,loot.container,very-rare,2000 gp,2000,2000 pp,20000,18000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.YG9QW0flem4SLL6A
415,Bag of Holding,bag-of-holding,container,loot.container,uncommon,4000 gp,4000,40 pp,400,-3600,magic_permanent_safe_default,Compendium.dnd5e.items.Item.aDHRuUs29SrumWfq
520,Bag of Holding,bag-of-holding,container,loot.container,uncommon,4000 gp,4000,40 pp,400,-3600,magic_permanent_safe_default,Compendium.dnd5e.items.Item.aDHRuUs29SrumWfq
666,Bag of Sand,bag-of-sand,loot,loot.loot,common,1 sp,0.1,1 sp,0.1,0,mundane_keep_current,Compendium.dnd5e.items.Item.iOMRrzfzFCfPGuD6
956,Bag of Sand,bag-of-sand,loot,loot.loot,,1 sp,0.1,1 sp,0.1,0,mundane_keep_current,Compendium.dnd5e.items.Item.f3eF8EYq1rkqFwDP
135,Bag of Tricks (Grey),bag-of-tricks-grey,consumable,loot.consumable,uncommon,4000 gp,4000,40 pp,400,-3600,magic_consumable_safe_default,Compendium.dnd5e.items.Item.9Ifr8fGvJ1bArzOW
192,Bag of Tricks (Rust),bag-of-tricks-rust,consumable,loot.consumable,uncommon,4000 gp,4000,40 pp,400,-3600,magic_consumable_safe_default,Compendium.dnd5e.items.Item.DxIdfGoJEYQj8o3D
309,Bag of Tricks (Tan),bag-of-tricks-tan,consumable,loot.consumable,uncommon,4000 gp,4000,40 pp,400,-3600,magic_consumable_safe_default,Compendium.dnd5e.items.Item.LHaqMvrx3PfSzWMQ
900,Bagpipes,bagpipes,tool,loot.tool,common,30 gp,30,3 pp,30,0,mundane_keep_current,Compendium.dnd5e.items.Item.yxHi57T5mmVt0oDr
50,Ball Bearings,ball-bearings,consumable,loot.consumable,common,0.1 cp,0,0 cp,0,0,mundane_keep_current,Compendium.dnd5e.items.Item.3YSUIp4eFo26YxJr
923,Ball Bearings,ball-bearings,consumable,loot.consumable,,0.1 cp,0,0 cp,0,0,mundane_keep_current,Compendium.dnd5e.items.Item.79zrBwqEp2MCJ1Bl
280,Banded Agate,banded-agate,loot,loot.loot,,50 gp,50,5 pp,50,0,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.JCb1hqV7vCouJQxx
1042,Bane,bane,spell,loot.spell,common,50 gp,50,5 pp,50,0,spell_level_standard,Compendium.dnd5e.spells.Item.95K2aUhAGV9qXjnf
1269,Banishment,banishment,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.dnd5e.spells.Item.pxpb2eOB6bv4phAf
1092,Barkskin,barkskin,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.JPwIEfgUPVebr5AH
76,Barrel,barrel,container,loot.container,,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.7Yqbqg5EtVW16wfT
107,Barrel,barrel,container,loot.container,common,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.7Yqbqg5EtVW16wfT
1415,Basalt Temple Mask,basalt-temple-mask,loot,loot.loot,,300 gp,300,25 pp,250,-50,art_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.aRt14Mask2Pq8Fr5
595,Basic Poison,basic-poison,consumable,loot.potion,common,100 gp,100,10 pp,100,0,mundane_keep_current,Compendium.dnd5e.items.Item.eVbPkYjpl29RE2uW
466,Basket,basket,container,loot.container,common,4 sp,0.4,4 sp,0.4,0,mundane_keep_current,Compendium.dnd5e.items.Item.Wv7HzD6dv1P0q78N
846,Basket,basket,container,loot.container,,4 sp,0.4,4 sp,0.4,0,mundane_keep_current,Compendium.dnd5e.items.Item.Wv7HzD6dv1P0q78N
263,Battleaxe,battleaxe,weapon,loot.weapon,common,10 gp,10,1 pp,10,0,mundane_keep_current,Compendium.dnd5e.items.Item.I0WocDSuNpGJayPb
426,Battleaxe +1,battleaxe-1,weapon,loot.weapon.magic,uncommon,1000 gp,1000,40 pp,400,-600,magic_permanent_safe_default,Compendium.dnd5e.items.Item.UAXu4MNvAvaKz9JO
553,Battleaxe +2,battleaxe-2,weapon,loot.weapon.magic,rare,4000 gp,4000,300 pp,3000,-1000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.cQ94oKUZN8FDAI8U
692,Battleaxe +3,battleaxe-3,weapon,loot.weapon.magic,very-rare,16000 gp,16000,2000 pp,20000,4000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.kNlvoSTcdMqxJPmI
1180,Beacon of Hope,beacon-of-hope,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Compendium.dnd5e.spells.Item.ZU9d6woBdUP8pIPt
405,Bead of Force,bead-of-force,consumable,loot.consumable,rare,960 gp,960,300 pp,3000,2040,magic_consumable_safe_default,Compendium.dnd5e.items.Item.SqTtbBCfiEsmZ36N
183,Bedroll,bedroll,loot,loot.loot,common,1 gp,1,1 gp,1,0,mundane_keep_current,Compendium.dnd5e.items.Item.DVXmyetZuvxbzAwW
934,Bedroll,bedroll,loot,loot.loot,,1 gp,1,1 gp,1,0,mundane_keep_current,Compendium.dnd5e.items.Item.DxfCBU7uBoRNAnDm
939,Bedroll,bedroll,loot,loot.loot,,1 gp,1,1 gp,1,0,mundane_keep_current,Compendium.dnd5e.items.Item.IGg1yAvcOyhIqzBi
210,Bell,bell,loot,loot.loot,common,1 gp,1,1 gp,1,0,mundane_keep_current,Compendium.dnd5e.items.Item.F6GwSqjErX1u35Re
942,Bell,bell,loot,loot.loot,,1 gp,1,1 gp,1,0,mundane_keep_current,Compendium.dnd5e.items.Item.KyW8s4pCgPAkgTXI
1351,Belladonna,belladonna,consumable,loot.potion,,15 gp,15,15 gp,15,0,mundane_keep_current,Compendium.world.terranor.terranor-c1-items-pack.Item.bJggG0KpRQ5WeaXs
221,Belt of Cloud Giant Strength,belt-of-cloud-giant-strength,equipment,loot.equipment.magic,legendary,18000 gp,18000,7500 pp,75000,57000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.NRj0lC3SM03s1YB3
341,Belt of Cloud Giant Strength,belt-of-cloud-giant-strength,equipment,loot.equipment.magic,legendary,18000 gp,18000,7500 pp,75000,57000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.NRj0lC3SM03s1YB3
677,Belt of Dwarvenkind,belt-of-dwarvenkind,equipment,loot.equipment.magic,rare,6000 gp,6000,300 pp,3000,-3000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.j2ZGEwx8MhHZXds4
543,Belt of Fire Giant Strength,belt-of-fire-giant-strength,equipment,loot.equipment.magic,very-rare,12000 gp,12000,2000 pp,20000,8000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.bq9YKwEHLQ7p7ric
353,Belt of Frost Giant Strength,belt-of-frost-giant-strength,equipment,loot.equipment.magic,very-rare,8000 gp,8000,2000 pp,20000,12000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.ORKf6RRcalrdD6Qp
198,Belt of Hill Giant Strength,belt-of-hill-giant-strength,equipment,loot.equipment.magic,rare,6000 gp,6000,300 pp,3000,-3000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.ER75WHewYN04Zp11
611,Belt of Stone Giant Strength,belt-of-stone-giant-strength,equipment,loot.equipment.magic,very-rare,8000 gp,8000,2000 pp,20000,12000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.fCUZ7h8YYrs16UhX
866,Belt of Storm Giant Strength,belt-of-storm-giant-strength,equipment,loot.equipment.magic,legendary,24000 gp,24000,7500 pp,75000,51000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.wBYmPQG3nZfD88aP
22,Berryl Gemstone,berryl-gemstone,loot,loot.loot,common,250 gp,250,10 pp,100,-150,gem_tier_snap,Item.f2reqXgGawajdowE
577,Berserker Battleaxe,berserker-battleaxe,weapon,loot.weapon.magic,rare,6000 gp,6000,300 pp,3000,-3000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.dvNzJqb7vq6oJlA2
910,Berserker Greataxe,berserker-greataxe,weapon,loot.weapon.magic,rare,6000 gp,6000,300 pp,3000,-3000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.zSKorO6lwT7vs2uk
636,Berserker Handaxe,berserker-handaxe,weapon,loot.weapon.magic,rare,6000 gp,6000,300 pp,3000,-3000,magic_permanent_safe_default,Compendium.dnd5e.items.Item.gwuffGC4JZ8BbStz
1263,Bestow Curse,bestow-curse,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Compendium.dnd5e.spells.Item.pO4zGe5LmFIYqJiL
129,Bit and Bridle,bit-and-bridle,equipment,loot.equipment,,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.8l7M3zeqrU2vkA5h
4,Black Opal,black-opal,loot,loot.loot,,200 gp,200,10 pp,100,-100,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.0BIXYULR7r7Uguhv
1373,Black Pearl Pair,black-pearl-pair,loot,loot.loot,,500 gp,500,50 pp,500,0,gem_tier_snap,Compendium.party-operations.party-operations-loot-manifest.Item.AvZNeZWMYvvq65Hb
1066,Black Tentacles,black-tentacles,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.dnd5e.spells.Item.DGONTFbk5eORs5qv
1204,Blade Barrier,blade-barrier,spell,loot.spell,very-rare,15000 gp,15000,1500 pp,15000,0,spell_level_standard,Compendium.dnd5e.spells.Item.dLJhxDfeyOsc3zsY
62,Blanket,blanket,loot,loot.loot,common,5 sp,0.5,5 sp,0.5,0,mundane_keep_current,Compendium.dnd5e.items.Item.419eNv7xp2p7Xlo5
973,Blanket,blanket,loot,loot.loot,,5 sp,0.5,5 sp,0.5,0,mundane_keep_current,Compendium.dnd5e.items.Item.uYniEJCeAuwUC4JY
1038,Bless,bless,spell,loot.spell,common,50 gp,50,5 pp,50,0,spell_level_standard,Compendium.dnd5e.spells.Item.8dzaICjGy6mTUaUr
1270,Blight,blight,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.dnd5e.spells.Item.pybg5MNc3lkerH4Y
1302,Blindness/Deafness,blindness-deafness,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.zwGsAv6kmwzYGhh3
1078,Blink,blink,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Compendium.dnd5e.spells.Item.GSvLWcdCZLQkilXT
