category,key_id,key_identifier,key_name,key_type,decision,line,score,id,name
identifier,uv0ilmzbwvqmlcvh,waterskin,Waterskin,consumable,drop,960,79,kx8DGQizmR5UI21R,Waterskin
identifier,uv0ilmzbwvqmlcvh,waterskin,Waterskin,consumable,drop,969,79,q4RcCLeKviqgckqt,Waterskin
identifier,v13fjv5osmvbrdgp,mess-kit,Mess Kit,loot,keep,439,74,V13fjV5oSmvbRdgP,Mess Kit
identifier,v13fjv5osmvbrdgp,mess-kit,Mess Kit,loot,drop,961,74,lBg9CPRdpRhn4DO4,Mess Kit
identifier,v5uajt3ed6sdntgm,crowbar,Crowbar,loot,keep,440,77,V5UAjT3ed6sDNtgm,Crowbar
identifier,v5uajt3ed6sdntgm,crowbar,Crowbar,loot,drop,928,77,AkyQyonZMVcvOrXU,Crowbar
identifier,v5uajt3ed6sdntgm,crowbar,Crowbar,loot,drop,981,77,yUGNrsXMfsUKwsUg,Crowbar
identifier,veyhiaife3rifdht,cow,Cow,loot,keep,441,82,VEyHiaiFe3RIFDHT,Cow
identifier,veyhiaife3rifdht,cow,Cow,loot,drop,1314,82,W6pJovmnVyjbk0fA,Cow
identifier,wfqs2vt8ddrfjtjg,parchment,Parchment,loot,keep,454,76,WFQS2vT8ddrFjTJg,Parchment
identifier,wfqs2vt8ddrfjtjg,parchment,Parchment,loot,drop,927,76,9c0CHs90xqPw81iP,Parchment
identifier,wrunjoqzmmgt9l58,flask,Flask,container,keep,465,76,WrUnJoQZmmgt9l58,Flask
identifier,wrunjoqzmmgt9l58,flask,Flask,container,drop,706,76,lHS63sC6bypENNlR,Flask
identifier,wv7hzd6dv1p0q78n,basket,Basket,container,keep,466,77,Wv7HzD6dv1P0q78N,Basket
identifier,wv7hzd6dv1p0q78n,basket,Basket,container,drop,846,77,uOzWQ8YXV3LpFnXG,Basket
identifier,zfespo7zj7kp6ldz,ox,Ox,loot,keep,510,81,ZfESpO7Zj7Kp6Ldz,Ox
identifier,zfespo7zj7kp6ldz,ox,Ox,loot,drop,1315,81,WCbKUQcahzQQX0pL,Ox
identifier,azckwa0t9k4z4sb9,crossbow-bolt-case,Crossbow Bolt Case,container,keep,530,77,azCkWA0t9k4Z4Sb9,Crossbow Bolt Case
identifier,azckwa0t9k4z4sb9,crossbow-bolt-case,Crossbow Bolt Case,container,drop,586,77,eJtPBiZtr2pp6ynt,Crossbow Bolt Case
identifier,cfvycjincypvcdhn,flour,Flour,loot,keep,547,76,cFvYCJinCypVCDhN,Flour
identifier,cfvycjincypvcdhn,flour,Flour,loot,drop,1305,76,CrcfT5jwcJTPTsfQ,Flour
identifier,dp7jmkyhttgvb3ii,ink-bottle,Ink Bottle,loot,keep,566,75,dP7jMKyHTTgVb3ii,Ink Bottle
identifier,dp7jmkyhttgvb3ii,ink-bottle,Ink Bottle,loot,drop,949,75,UICmOXUKBmHp9o4y,Ink Bottle
identifier,dp7jmkyhttgvb3ii,ink-bottle,Ink Bottle,loot,drop,970,75,qGfu1070HAllkO4W,Ink Bottle
identifier,ejy20los3pokrdpl,block-of-incense,Block of Incense,loot,keep,585,78,eJY20LOs3pOkRDPl,Block of Incense
identifier,ejy20los3pokrdpl,block-of-incense,Block of Incense,loot,drop,980,78,xxRC1qTIGzGEvmkg,Block of Incense
identifier,f4w4gxbi0nyxmhx4,rations,Rations,consumable,keep,607,77,f4w4GxBi0nYXmhX4,Rations
identifier,f4w4gxbi0nyxmhx4,rations,Rations,consumable,drop,926,77,8d95YV1jHcxPygJ9,Rations
identifier,f4w4gxbi0nyxmhx4,rations,Rations,consumable,drop,935,77,EC6ugXsfJZmjMNAj,Rations
identifier,f4w4gxbi0nyxmhx4,rations,Rations,consumable,drop,941,77,JwJf6M6HCSSMgKx3,Rations
identifier,f4w4gxbi0nyxmhx4,rations,Rations,consumable,drop,946,77,P5UuhUBZL59wZiCY,Rations
identifier,f4w4gxbi0nyxmhx4,rations,Rations,consumable,drop,952,77,YM4QueTsF3DL77mH,Rations
identifier,fnmkfcovmiw2rh3t,paper,Paper,loot,keep,612,75,fNMkFCOvMiW2Rh3t,Paper
identifier,fnmkfcovmiw2rh3t,paper,Paper,loot,drop,915,75,0huCWvOncUsme84v,Paper
identifier,hvan2a6ukt1npgu3,gold,Gold,loot,keep,653,83,hvAn2a6ukt1NpGU3,Gold
identifier,hvan2a6ukt1npgu3,gold,Gold,loot,drop,1308,83,HHh7Ihuk8ToxJzQX,Gold
identifier,iahvvuzd5s0ltpsx,cotton,Cotton,loot,keep,661,78,iAhvVUZD5s0ltpSX,Cotton
identifier,iahvvuzd5s0ltpsx,cotton,Cotton,loot,drop,1318,78,ZcAgZHJ1hhqbedLF,Cotton
identifier,iomrrzfzfcfpgud6,bag-of-sand,Bag of Sand,loot,keep,666,73,iOMRrzfzFCfPGuD6,Bag of Sand
identifier,iomrrzfzfcfpgud6,bag-of-sand,Bag of Sand,loot,drop,956,73,f3eF8EYq1rkqFwDP,Bag of Sand
identifier,irtqrzauceshmtzp,vestments,Vestments,equipment,keep,673,77,irtqrzaUCeshmTZp,Vestments
identifier,irtqrzauceshmtzp,vestments,Vestments,equipment,drop,965,77,mE6rsbIJXAd4tr4e,Vestments
identifier,l794iywhk8wc6uvi,book-of-lore,Book of Lore,loot,keep,703,76,l794iywHk8Wc6Uvi,Book of Lore
identifier,l794iywhk8wc6uvi,book-of-lore,Book of Lore,loot,drop,929,76,Bt7nIb37nU7Wxevx,Book of Lore
identifier,mckdf0p09wo5hmqx,cloves,Cloves,loot,keep,721,80,mCKdF0P09Wo5hmqx,Cloves
identifier,mckdf0p09wo5hmqx,cloves,Cloves,loot,drop,1325,80,u753EokyA4vjksle,Cloves
identifier,mxevblocdspn0to7,pig,Pig,loot,keep,725,85,mXeVbLoCdSpN0tO7,Pig
identifier,mxevblocdspn0to7,pig,Pig,loot,drop,1317,85,YJ2pBio6uEg5vhgN,Pig
identifier,nhjttimipva0yw0p,saffron,Saffron,loot,keep,745,83,nhJTtimIPVa0Yw0p,Saffron
identifier,nhjttimipva0yw0p,saffron,Saffron,loot,drop,1309,83,Mrmkw4uaWX6UKpbn,Saffron
identifier,oin4zuci02b8nfdu,ginger,Ginger,loot,keep,753,77,oIn4ZUCI02B8NfdU,Ginger
identifier,oin4zuci02b8nfdu,ginger,Ginger,loot,drop,1313,77,VcHmykfFBurKzCO6,Ginger
identifier,puwukjk3wagiahnu,pepper,Pepper,loot,keep,770,77,pUwuKJk3wAgiAhNU,Pepper
identifier,puwukjk3wagiahnu,pepper,Pepper,loot,drop,1303,77,8SQ7vyE6gevpfJvn,Pepper
identifier,pciwvfpeejxrpbje,platinum,Platinum,loot,keep,772,76,pcIwvfpEEjXRpBJe,Platinum
identifier,pciwvfpeejxrpbje,platinum,Platinum,loot,drop,1306,76,Eyl9QYZcM9CYIqbA,Platinum
identifier,psozaitkoscmvahl,oil-flask,Oil Flask,consumable,keep,773,94,psoZaItkOScMVaHL,Oil Flask
identifier,psozaitkoscmvahl,oil-flask,Oil Flask,consumable,drop,957,94,j01YDOu2AolsRvdN,Oil Flask
identifier,psozaitkoscmvahl,oil-flask,Oil Flask,consumable,drop,958,94,jDTM1RjtZMu9YYL9,Oil Flask
identifier,qbydtuuikv520dt7,lute,Lute,tool,keep,777,80,qBydtUUIkv520DT7,Lute
identifier,qbydtuuikv520dt7,lute,Lute,tool,drop,860,80,vp4KpqdSfg3cvfCS,Lute
identifier,qmzhmlmha8qmdnef,lamp,Lamp,consumable,keep,781,74,qMzHmlmha8qMDnEF,Lamp
identifier,qmzhmlmha8qmdnef,lamp,Lamp,consumable,drop,975,74,vmymwrmE730l3pKh,Lamp
identifier,sss3hszkkbmnbgts,shield,Shield,equipment,keep,810,77,sSs3hSzkKBMNBgTs,Shield
identifier,sss3hszkkbmnbgts,shield,Shield,equipment,drop,898,77,ypmzVapk7guDIqx4,Shield
identifier,sss3hszkkbmnbgts,shield,Shield,equipment,drop,1297,77,z1mx84ONwkXKUZd7,Shield
identifier,trmwaduor6y2b7ra,hooded-lantern,Hooded Lantern,consumable,keep,837,77,trmWAdUoR6Y2B7rA,Hooded Lantern
identifier,trmwaduor6y2b7ra,hooded-lantern,Hooded Lantern,consumable,drop,976,77,wjHtGnd05SPdURqE,Hooded Lantern
identifier,uvm7mib71qblfnoy,ink-pen,Ink Pen,loot,keep,848,75,uVm7MiB71QblfnoY,Ink Pen
identifier,uvm7mib71qblfnoy,ink-pen,Ink Pen,loot,drop,924,75,8Fe9YSSe4ymQq8UM,Ink Pen
identifier,uvm7mib71qblfnoy,ink-pen,Ink Pen,loot,drop,982,75,ybeLtyIloDvKhDz8,Ink Pen
identifier,uuh4uh3jx5csfjda,perfume,Perfume,loot,keep,853,76,uuh4UH3Jx5CsFjdA,Perfume
identifier,uuh4uh3jx5csfjda,perfume,Perfume,loot,drop,944,76,LECtCKWa0mt0Vy1U,Perfume
